species_source	ID	Prediction	Protein description	full_evalue	description	virulence_literature	bit_score	full_score	final_rank_score
citrus	WP_045714871.1	OTHER	calcium-binding protein [Xanthomonas citri]	1.6E-63	RTX		2508	210.7	2718.7
citrus	WP_011052193.1	OTHER	hypothetical protein [Xanthomonas citri]				2652		2652
citrus	WP_052456244.1	OTHER	hypothetical protein [Xanthomonas citri]				2612		2612
citrus	WP_191589000.1	OTHER	hypothetical protein [Xanthomonas citri]				2469		2469
citrus	WP_011052147.1	OTHER	MULTISPECIES: XVIPCD domain-containing protein [Xanthomonas]	0.0000000019	X-Tfes,		1744	38.6	1782.6
citrus	WP_052690681.1	OTHER	putative Ig domain-containing protein [Xanthomonas citri]	1.3E-49	Putative		1596	167.2	1763.2
citrus	WP_011050550.1	LIPO	MULTISPECIES: esterase/lipase family protein [Xanthomonas]				1345		1345
citrus	WP_442712828.1	LIPO	esterase/lipase family protein [Xanthomonas citri]	0.00000017	Alpha/beta		1285	32.7	1317.7
citrus	WP_011051229.1	OTHER	IS4-like element ISXac1 family transposase [Xanthomonas citri]	7.5E-24	Transposase		805	85.2	890.2
citrus	WP_011050083.1	OTHER	MULTISPECIES: IS4-like element ISXac1 family transposase [Gammaproteobacteria]	8.8E-24	Transposase		805	85	890
grape	WP_232350932.1	OTHER	zeta toxin family protein [Xanthomonas citri]	8E-56	Zeta		2552	189.2	2741.2
grape	WP_244441022.1	OTHER	peptidoglycan-binding protein [Xanthomonas citri]	8.3E-14	Putative		2449	52.1	2501.1
grape	WP_080715310.1	OTHER	serine/threonine-protein kinase [Xanthomonas citri]	7.1E-46	Protein		746	157.3	903.3
grape	WP_033485481.1	OTHER	helix-turn-helix domain-containing protein [Xanthomonas citri]	1.7E-21	IrrE		796	76.9	872.9
grape	WP_005924051.1	OTHER	serine/threonine-protein kinase [Xanthomonas citri]	8.8E-43	Protein		723	147.2	870.2
grape	WP_033485020.1	OTHER	type IV secretion system protein [Xanthomonas citri]	3.6E-37	TrbL/VirB6	possible_virulence	721	128.8	849.8
grape	WP_033485945.1	OTHER	MULTISPECIES: type IV secretion system protein [Xanthomonas]	2.7E-36	TrbL/VirB6	possible_virulence	722	126	848
grape	WP_050495026.1	OTHER	MULTISPECIES: helix-turn-helix domain-containing protein [Xanthomonas]	1.1E-18	IrrE		754	67.8	821.8
grape	WP_080715265.1	OTHER	serine/threonine-protein kinase [Xanthomonas citri]	6.5E-36	Protein		620	124.6	744.6
grape	WP_164677996.1	SP	MULTISPECIES: P-type DNA transfer protein VirB5 [Xanthomonas]	7.7E-67	Type		486	226.1	712.1
pomegranate	WP_233700232.1	OTHER	LysM domain protein [Xanthomonas citri]	3.8E-179	RHS		6556	579	7135
pomegranate	WP_306291509.1	OTHER	XopAG/AvrGf1 family type III secretion system effector [Xanthomonas citri]			possible_virulence	1109		1109
pomegranate	WP_005932979.1	OTHER	XopAG/AvrGf1 family type III secretion system effector [Xanthomonas citri]			possible_virulence	1058		1058
pomegranate	WP_192486489.1	OTHER	IS5 family transposase [Xanthomonas citri]	4.4E-19	Transposase		931	69.4	1000.4
pomegranate	WP_192486500.1	OTHER	IS5 family transposase [Xanthomonas citri]	4.4E-19	Transposase		931	69.4	1000.4
pomegranate	WP_160964032.1	OTHER	MULTISPECIES: IS5 family transposase [Lysobacteraceae]	4.4E-19	Transposase		930	69.4	999.4
pomegranate	WP_233700267.1	OTHER	hypothetical protein [Xanthomonas citri]				885		885
pomegranate	WP_176558553.1	OTHER	MULTISPECIES: IS3 family transposase [Xanthomonas]	3.9E-25	Integrase		771	88	859
pomegranate	WP_087947207.1	OTHER	IS3-like element ISXca2 family transposase [Xanthomonas citri]	7.1E-27	Integrase		764	93.6	857.6
pomegranate	WP_425525089.1	OTHER	IS3 family transposase [Xanthomonas citri]	3.7E-25	Integrase		768	88.1	856.1
xoo	WP_242505180.1	SP	RHS repeat-associated core domain-containing protein [Xanthomonas oryzae]	3.4E-55	RHS		3564	184	3748
xoo	WP_012444473.1	OTHER	DUF6531 domain-containing protein [Xanthomonas oryzae]	1E-71	RHS		3232	236.7	3468.7
xoo	WP_129215632.1	OTHER	RHS repeat-associated core domain-containing protein [Xanthomonas oryzae]	5.8E-74	RHS		2918	243.8	3161.8
xoo	WP_129215608.1	OTHER	IPT/TIG domain-containing protein [Xanthomonas oryzae]	0.0000000087	IPT/TIG		2791	35.9	2826.9
xoo	WP_229002594.1	OTHER	RHS repeat domain-containing protein [Xanthomonas oryzae]	1E-59	RHS		2342	198.5	2540.5
xoo	WP_242505189.1	OTHER	type VI secretion system Vgr family protein [Xanthomonas oryzae]	1.3E-66	Phage	possible_virulence	1974	225.4	2199.4
xoo	WP_206737953.1	OTHER	type VI secretion system Vgr family protein [Xanthomonas oryzae]	2E-66	Phage	possible_virulence	1865	224.8	2089.8
xoo	WP_129215671.1	OTHER	T6SS effector BTH_I2691 family protein [Xanthomonas oryzae]	7E-39	VasX	possible_virulence	1954	134	2088
xoo	WP_129215596.1	OTHER	T6SS effector BTH_I2691 family protein [Xanthomonas oryzae]	1.4E-41	VasX	possible_virulence	1943	142.8	2085.8
xoo	WP_129215587.1	OTHER	T6SS effector BTH_I2691 family protein [Xanthomonas oryzae]	1.5E-41	VasX	possible_virulence	1943	142.6	2085.6
