ID	Protein description	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position	percent_identity	alignment_length	mismatches	gap_opens	query_start	query_end	subject_start	subject_end	evalue	bit_score	target_name	target_accession	query_accession	full_evalue	full_score	full_bias	best1_evalue	best1_score	best1_bias	exp	reg	clu	ov	env	dom	rep	inc	description	virulence_literature	T3E_secreted_evidence	species_source	final_rank_score	rank_percentile
WP_045714871.1	calcium-binding protein [Xanthomonas citri]	OTHER	0.997729	0.002264	2.5e-05	5e-06	3e-06	1.3e-05		100.0	1315	0	0	1	1315	1	1315	0.0	2508.0	HemolysinCabind	PF00353.26	-	1.6e-63	210.7	252.2	2.6e-10	40.6	14.6	21.5	16.0	7.0	7.0	25.0	25.0	25.0	16.0	RTX			citrus	2718.7	0.0175
WP_011052193.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	1334	0	0	1	1334	1	1334	0.0	2652.0																					citrus	2652.0	0.02
WP_052456244.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	1307	0	0	1	1307	1	1307	0.0	2612.0																					citrus	2612.0	0.0225
WP_191589000.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	1224	0	0	1	1224	1	1224	0.0	2469.0																					citrus	2469.0	0.03
WP_011052147.1	MULTISPECIES: XVIPCD domain-containing protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	861	0	0	1	861	1	861	0.0	1744.0	X-Tfes_XVIPCD	PF20410.4	-	1.9e-09	38.6	0.1	1.9e-09	38.6	0.1	3.0	3.0	0.0	0.0	3.0	3.0	3.0	1.0	X-Tfes,			citrus	1782.6	0.0775
WP_052690681.1	putative Ig domain-containing protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	805	0	0	1	805	1	805	0.0	1596.0	He_PIG	PF05345.19	-	1.3e-49	167.2	23.7	3.6000000000000003e-22	79.2	0.8	5.0	5.0	0.0	0.0	5.0	5.0	5.0	3.0	Putative			citrus	1763.2	0.08
WP_011050550.1	MULTISPECIES: esterase/lipase family protein [Xanthomonas]	LIPO	1e-06	9e-06	1.0	0.0	0.0	0.0	CS pos: 25-26. Pr: 0.9958	100.0	664	0	0	1	664	1	664	0.0	1345.0																					citrus	1345.0	0.0925
WP_442712828.1	esterase/lipase family protein [Xanthomonas citri]	LIPO	0.087571	0.352378	0.559235	0.000328	0.000241	0.000239	CS pos: 10-11. Pr: 0.5220	100.0	627	0	0	1	627	1	627	0.0	1285.0	Abhydrolase_6	PF12697.14	-	1.7e-07	32.7	2.2	1.7e-07	32.7	2.2	2.2	2.0	0.0	0.0	2.0	2.0	2.0	1.0	Alpha/beta			citrus	1317.7	0.1
WP_011051229.1	IS4-like element ISXac1 family transposase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	404	0	0	1	404	1	404	0.0	805.0	DDE_Tnp_1	PF01609.28	-	7.5e-24	85.2	0.5	4.1e-22	79.5	0.0	2.2	2.0	0.0	0.0	2.0	2.0	2.0	2.0	Transposase			citrus	890.2	0.305
WP_011050083.1	MULTISPECIES: IS4-like element ISXac1 family transposase [Gammaproteobacteria]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	404	0	0	1	404	1	404	0.0	805.0	DDE_Tnp_1	PF01609.28	-	8.8e-24	85.0	0.4	4.900000000000002e-22	79.3	0.0	2.2	2.0	0.0	0.0	2.0	2.0	2.0	2.0	Transposase			citrus	890.0	0.3075
WP_223293138.1	MULTISPECIES: IS3 family transposase [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	377	0	0	1	377	1	377	0.0	779.0	rve_3	PF13683.13	-	1.8e-26	92.3	0.1	4.9999999999999996e-26	90.9	0.0	1.8	2.0	0.0	0.0	2.0	2.0	2.0	1.0	Integrase			citrus	871.3	0.33
WP_223293126.1	MULTISPECIES: IS3 family transposase [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	362	0	0	1	362	1	362	0.0	757.0	HTH_Tnp_1	PF01527.27	-	6.3999999999999995e-24	84.5	0.7	7.6e-23	81.1	0.0	2.3	2.0	0.0	0.0	2.0	2.0	2.0	1.0	Transposase			citrus	841.5	0.36
WP_087943924.1	MULTISPECIES: IS3-like element ISXac4 family transposase [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	370	0	0	1	370	1	370	0.0	764.0	rve_3	PF13683.13	-	1.9e-21	76.2	0.1	5.6e-21	74.7	0.1	1.9	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Integrase			citrus	840.2	0.3625
WP_442712818.1	DUF7380 domain-containing protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	354	0	0	1	354	1	354	0.0	731.0	DUF7380	PF24098.2	-	1.2e-30	107.3	0.1	2e-30	106.5	0.1	1.3	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Domain			citrus	838.3	0.365
WP_087943923.1	MULTISPECIES: IS3-like element ISXac2 family transposase [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	362	0	0	1	362	1	362	0.0	754.0	HTH_Tnp_1	PF01527.27	-	8.9e-23	80.9	0.5	2.4e-22	79.5	0.1	1.9	2.0	0.0	0.0	2.0	2.0	2.0	1.0	Transposase			citrus	834.9	0.36875
WP_089504397.1	MULTISPECIES: IS3-like element ISXac2 family transposase [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	362	0	0	1	362	1	362	0.0	754.0	HTH_Tnp_1	PF01527.27	-	8.9e-23	80.9	0.5	2.4e-22	79.5	0.1	1.9	2.0	0.0	0.0	2.0	2.0	2.0	1.0	Transposase			citrus	834.9	0.36875
WP_442712798.1	IS3-like element ISXac2 family transposase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	362	0	0	1	362	1	362	0.0	753.0	HTH_Tnp_1	PF01527.27	-	5.7e-23	81.5	0.7	2.4e-22	79.5	0.1	2.2	2.0	0.0	0.0	2.0	2.0	2.0	1.0	Transposase			citrus	834.5	0.3725
WP_015463221.1	MULTISPECIES: ParA family protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	294	0	0	1	294	1	294	0.0	581.0	AAA_31	PF13614.13	-	1.7e-24	87.3	0.0	2.6e-24	86.7	0.0	1.2	1.0	0.0	0.0	1.0	1.0	1.0	1.0	AAA			citrus	668.3	0.5775
WP_442712840.1	ParA family protein [Xanthomonas citri]	OTHER	1.0	1e-06	0.0	0.0	0.0	0.0		100.0	274	0	0	1	274	1	274	0.0	563.0	AAA_31	PF13614.13	-	5.600000000000001e-22	79.0	0.0	8.6e-22	78.5	0.0	1.2	1.0	0.0	0.0	1.0	1.0	1.0	1.0	AAA			citrus	642.0	0.645
WP_011052998.1	MULTISPECIES: ParA family protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	255	0	0	1	255	1	255	0.0	522.0	AAA_31	PF13614.13	-	2.2e-24	86.9	0.0	3.1e-24	86.4	0.0	1.2	1.0	0.0	0.0	1.0	1.0	1.0	1.0	AAA			citrus	608.9	0.655
