ID	Protein description	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position	percent_identity	alignment_length	mismatches	gap_opens	query_start	query_end	subject_start	subject_end	evalue	bit_score	target_name	target_accession	query_accession	full_evalue	full_score	full_bias	best1_evalue	best1_score	best1_bias	exp	reg	clu	ov	env	dom	rep	inc	description	virulence_literature	T3E_secreted_evidence	species_source
WP_011050083.1	MULTISPECIES: IS4-like element ISXac1 family transposase [Gammaproteobacteria]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	404	0	0	1	404	1	404	0.0	805.0	DDE_Tnp_1	PF01609.28	-	8.799999999999999e-24	85.0	0.4	4.900000000000001e-22	79.3	0.0	2.2	2.0	0.0	0.0	2.0	2.0	2.0	2.0	Transposase			citrus
WP_011050550.1	MULTISPECIES: esterase/lipase family protein [Xanthomonas]	LIPO	1e-06	9e-06	1.0	0.0	0.0	0.0	CS pos: 25-26. Pr: 0.9958	100.0	664	0	0	1	664	1	664	0.0	1345.0																					citrus
WP_011051229.1	IS4-like element ISXac1 family transposase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	404	0	0	1	404	1	404	0.0	805.0	DDE_Tnp_1	PF01609.28	-	7.499999999999999e-24	85.2	0.5	4.1000000000000004e-22	79.5	0.0	2.2	2.0	0.0	0.0	2.0	2.0	2.0	2.0	Transposase			citrus
WP_011051385.1	MULTISPECIES: helix-turn-helix domain-containing protein [Xanthomonas]	OTHER	0.999405	0.000588	3.1e-05	3e-06	1e-06	1e-05		100.0	98	0	0	1	98	1	98	5.4900000000000006e-70	196.0	HTH_3	PF01381.29	-	1.1e-09	38.8	0.0	1.7e-09	38.1	0.0	1.3	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Helix-turn-helix			citrus
WP_011051389.1	MULTISPECIES: helix-turn-helix transcriptional regulator [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	120	0	0	1	120	1	120	8.82e-87	240.0	Phage_AlpA	PF05930.19	-	1.9e-12	47.4	1.0	2.9e-12	46.8	0.5	1.6	2.0	0.0	0.0	2.0	2.0	2.0	1.0	Prophage			citrus
WP_011051413.1	MULTISPECIES: AlpA family transcriptional regulator [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	75	0	0	1	75	1	75	6.7e-54	153.0	Phage_AlpA	PF05930.19	-	8.700000000000001e-22	77.3	0.5	1e-21	77.1	0.5	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Prophage			citrus
WP_011051633.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	216	0	0	1	216	1	216	4.46e-161	436.0																					citrus
WP_011051752.1	MULTISPECIES: type IV pilin protein [Xanthomonas]	PILIN	0.038852	0.000307	7.1e-05	5e-06	2e-06	0.960763	CS pos: 12-13. Pr: 0.6801	100.0	143	0	0	1	143	1	143	1.14e-105	290.0	ComP_DUS	PF16732.11	-	5.8e-18	66.1	7.0	8e-18	65.7	7.0	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Type			citrus
WP_011051975.1	MULTISPECIES: RebB family R body protein [Xanthomonas]	OTHER	0.999714	0.000301	4e-06	1e-06	1e-06	1e-06		100.0	97	0	0	1	97	1	97	3.96e-67	188.0	RebB	PF11747.14	-	4.7000000000000005e-28	97.8	16.1	7e-28	97.2	16.1	1.3	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Killing			citrus
WP_011051976.1	MULTISPECIES: RebB family R body protein [Xanthomonas]	OTHER	0.999844	0.000185	2e-06	1e-06	0.0	1e-06		100.0	89	0	0	1	89	1	89	8.25e-61	172.0	RebB	PF11747.14	-	2.3000000000000003e-28	98.7	15.3	3e-28	98.4	15.3	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Killing			citrus
