ID	Protein description	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position	percent_identity	alignment_length	mismatches	gap_opens	query_start	query_end	subject_start	subject_end	evalue	bit_score	target_name	target_accession	query_accession	full_evalue	full_score	full_bias	best1_evalue	best1_score	best1_bias	exp	reg	clu	ov	env	dom	rep	inc	description	virulence_literature	T3E_secreted_evidence
WP_005918293.1	MULTISPECIES: nucleotidyl transferase AbiEii/AbiGii toxin family protein [Xanthomonas]	OTHER	1	0	0	0	0	0	NA	100	285	0	0	1	285	1	285	0	585	AbiEii	PF08843.18	-	4.2E-24	86.4	0.9	5.1E-24	86.1	0.9	1.1	1	0	0	1	1	1	1	Nucleotidyl	NA	NA
WP_005932853.1	RHS Repeat family protein [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	355	0	0	1	355	1	355	0	726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_005932979.1	XopAG/AvrGf1 family type III secretion system effector [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	508	0	0	1	508	1	508	0	1058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	possible_virulence	T3E_or_secreted_candidate
WP_005933765.1	recombinase family protein [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	215	0	0	1	215	1	215	7.2E-157	424	Resolvase	PF00239.27	-	3.4E-20	73.2	5.8	1.9E-19	70.7	5.8	1.9	1	1	0	1	1	1	1	Resolvase,	NA	NA
WP_033480720.1	hypothetical protein [Xanthomonas citri]	LIPO	0.001469	0.207608	0.790248	0.00025	0.000269	0.000137	CS pos: 37-38. Pr: 0.7381	100	237	0	0	1	237	1	237	0	491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_087947207.1	IS3-like element ISXca2 family transposase [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	369	0	0	1	369	1	369	0	764	rve_3	PF13683.13	-	7.1E-27	93.6	0	2E-26	92.1	0	1.8	2	0	0	2	2	2	1	Integrase	NA	NA
WP_160964032.1	MULTISPECIES: IS5 family transposase [Lysobacteraceae]	OTHER	1	0	0	0	0	0	NA	100	458	0	0	1	458	1	458	0	930	DUF772	PF05598.17	-	4.4E-19	69.4	0	9.5E-19	68.3	0	1.6	1	0	0	1	1	1	1	Transposase	NA	NA
WP_176558546.1	hypothetical protein [Xanthomonas citri]	OTHER	0.999939	0.000088	0.000003	0	0	0	NA	100	246	0	0	1	246	1	246	0	488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_176558553.1	MULTISPECIES: IS3 family transposase [Xanthomonas]	OTHER	1	0	0	0	0	0	NA	100	371	0	0	1	371	1	371	0	771	rve_3	PF13683.13	-	3.9E-25	88	0	1.1E-24	86.5	0	1.9	1	0	0	1	1	1	1	Integrase	NA	NA
WP_192486482.1	recombinase family protein [Xanthomonas citri]	OTHER	1	0.000001	0	0	0	0	NA	100	242	0	0	1	242	1	242	1.94E-173	469	Resolvase	PF00239.27	-	1.8E-20	74.1	1.5	9.1E-20	71.8	1.5	1.9	1	1	0	1	1	1	1	Resolvase,	NA	NA
WP_192486489.1	IS5 family transposase [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	458	0	0	1	458	1	458	0	931	DUF772	PF05598.17	-	4.4E-19	69.4	0	9.5E-19	68.3	0	1.6	1	0	0	1	1	1	1	Transposase	NA	NA
WP_192486500.1	IS5 family transposase [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	458	0	0	1	458	1	458	0	931	DUF772	PF05598.17	-	4.4E-19	69.4	0	9.5E-19	68.3	0	1.6	1	0	0	1	1	1	1	Transposase	NA	NA
WP_233700203.1	IS3 family transposase [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	367	0	0	1	367	1	367	0	764	rve_3	PF13683.13	-	9.7E-25	86.7	0	2.5E-24	85.4	0	1.8	1	0	0	1	1	1	1	Integrase	NA	NA
WP_233700229.1	hypothetical protein [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	194	0	0	1	194	1	194	6.34E-148	400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_233700232.1	LysM domain protein [Xanthomonas citri]	OTHER	1	0.000002	0	0	0	0	NA	100	3263	0	0	1	3263	1	3263	0	6556	RHS_repeat	PF05593.20	-	3.8E-179	579	375.6	0.00000021	31.8	3.3	63.7	50	15	14	68	68	68	56	RHS	NA	NA
WP_233700242.1	NYN domain-containing protein [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	104	0	0	1	104	1	104	4.78E-76	211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_233700255.1	hypothetical protein [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	395	0	0	1	395	1	395	0	784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_233700259.1	MULTISPECIES: NYN domain-containing protein [Xanthomonas]	OTHER	1	0	0	0	0	0	NA	100	323	0	0	1	323	1	323	0	663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_233700261.1	hypothetical protein [Xanthomonas citri]	OTHER	1	0.000004	0	0	0	0	NA	100	65	0	0	1	65	1	65	9.69E-47	134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_233700267.1	hypothetical protein [Xanthomonas citri]	OTHER	0.999934	0.000088	0.000003	0	0	0	NA	100	448	0	0	1	448	1	448	0	885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_233700269.1	hypothetical protein [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	315	0	0	1	315	1	315	0	625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_306291509.1	XopAG/AvrGf1 family type III secretion system effector [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	532	0	0	1	532	1	532	0	1109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	possible_virulence	T3E_or_secreted_candidate
WP_425525089.1	IS3 family transposase [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	370	0	0	1	370	1	370	0	768	rve_3	PF13683.13	-	3.7E-25	88.1	0	1.1E-24	86.5	0	1.9	1	0	0	1	1	1	1	Integrase	NA	NA
WP_425525091.1	IS3 family transposase [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	370	0	0	1	370	1	370	0	768	rve_3	PF13683.13	-	3.7E-25	88.1	0	1.1E-24	86.5	0	1.9	1	0	0	1	1	1	1	Integrase	NA	NA
