ID	Protein description	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position	percent_identity	alignment_length	mismatches	gap_opens	query_start	query_end	subject_start	subject_end	evalue	bit_score	target_name	target_accession	query_accession	full_evalue	full_score	full_bias	best1_evalue	best1_score	best1_bias	exp	reg	clu	ov	env	dom	rep	inc	description	virulence_literature	T3E_secreted_evidence
WP_011050083.1	MULTISPECIES: IS4-like element ISXac1 family transposase [Gammaproteobacteria]	OTHER	1	0	0	0	0	0	NA	100	404	0	0	1	404	1	404	0	805	DDE_Tnp_1	PF01609.28	-	8.8E-24	85	0.4	4.9E-22	79.3	0	2.2	2	0	0	2	2	2	2	Transposase	NA	NA
WP_011050550.1	MULTISPECIES: esterase/lipase family protein [Xanthomonas]	LIPO	0.000001	0.000009	1	0	0	0	CS pos: 25-26. Pr: 0.9958	100	664	0	0	1	664	1	664	0	1345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_011051229.1	IS4-like element ISXac1 family transposase [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	404	0	0	1	404	1	404	0	805	DDE_Tnp_1	PF01609.28	-	7.5E-24	85.2	0.5	4.1E-22	79.5	0	2.2	2	0	0	2	2	2	2	Transposase	NA	NA
WP_011051385.1	MULTISPECIES: helix-turn-helix domain-containing protein [Xanthomonas]	OTHER	0.999405	0.000588	0.000031	0.000003	0.000001	0.00001	NA	100	98	0	0	1	98	1	98	5.49E-70	196	HTH_3	PF01381.29	-	0.0000000011	38.8	0	0.0000000017	38.1	0	1.3	1	0	0	1	1	1	1	Helix-turn-helix	NA	NA
WP_011051389.1	MULTISPECIES: helix-turn-helix transcriptional regulator [Xanthomonas]	OTHER	1	0	0	0	0	0	NA	100	120	0	0	1	120	1	120	8.82E-87	240	Phage_AlpA	PF05930.19	-	1.9E-12	47.4	1	2.9E-12	46.8	0.5	1.6	2	0	0	2	2	2	1	Prophage	NA	NA
WP_011051413.1	MULTISPECIES: AlpA family transcriptional regulator [Xanthomonas]	OTHER	1	0	0	0	0	0	NA	100	75	0	0	1	75	1	75	6.7E-54	153	Phage_AlpA	PF05930.19	-	8.7E-22	77.3	0.5	1E-21	77.1	0.5	1.1	1	0	0	1	1	1	1	Prophage	NA	NA
WP_011051633.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	1	0	0	0	0	0	NA	100	216	0	0	1	216	1	216	4.46E-161	436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_011051752.1	MULTISPECIES: type IV pilin protein [Xanthomonas]	PILIN	0.038852	0.000307	0.000071	0.000005	0.000002	0.960763	CS pos: 12-13. Pr: 0.6801	100	143	0	0	1	143	1	143	1.14E-105	290	ComP_DUS	PF16732.11	-	5.8E-18	66.1	7	8E-18	65.7	7	1.1	1	0	0	1	1	1	1	Type	NA	NA
WP_011051975.1	MULTISPECIES: RebB family R body protein [Xanthomonas]	OTHER	0.999714	0.000301	0.000004	0.000001	0.000001	0.000001	NA	100	97	0	0	1	97	1	97	3.96E-67	188	RebB	PF11747.14	-	4.7E-28	97.8	16.1	7E-28	97.2	16.1	1.3	1	0	0	1	1	1	1	Killing	NA	NA
WP_011051976.1	MULTISPECIES: RebB family R body protein [Xanthomonas]	OTHER	0.999844	0.000185	0.000002	0.000001	0	0.000001	NA	100	89	0	0	1	89	1	89	8.25E-61	172	RebB	PF11747.14	-	2.3E-28	98.7	15.3	3E-28	98.4	15.3	1.1	1	0	0	1	1	1	1	Killing	NA	NA
WP_011051977.1	MULTISPECIES: RebB family R body protein [Xanthomonas]	OTHER	1	0.000001	0	0	0	0	NA	100	88	0	0	1	88	1	88	3.77E-60	170	RebB	PF11747.14	-	1E-27	96.6	13.6	1.3E-27	96.3	13.6	1.1	1	0	0	1	1	1	1	Killing	NA	NA
WP_011051978.1	MULTISPECIES: RebB family R body protein [Xanthomonas]	OTHER	1	0.000025	0	0	0	0	NA	100	92	0	0	1	92	1	92	2.44E-64	181	RebB	PF11747.14	-	1.1E-28	99.7	12.6	1.4E-28	99.4	12.6	1.2	1	0	0	1	1	1	1	Killing	NA	NA
WP_011051980.1	MULTISPECIES: RebB family R body protein [Xanthomonas]	OTHER	0.616811	0.380965	0.001009	0.000384	0.000315	0.000503	NA	100	81	0	0	1	81	1	81	4.73E-53	152	RebB	PF11747.14	-	2.1E-13	50.8	5.4	2.1E-13	50.8	5.4	1.6	1	1	1	2	2	2	1	Killing	NA	NA
WP_011052127.1	MULTISPECIES: pilin [Xanthomonas]	PILIN	0.011876	0.000062	0.000022	0.000002	0.000001	0.988061	CS pos: 6-7. Pr: 0.7378	100	146	0	0	1	146	1	146	6.92E-107	293	Pilin	PF00114.25	-	1.1E-21	78.4	9.3	1.2E-21	78.2	9.3	1.1	1	0	0	1	1	1	1	Pilin	NA	NA
WP_011052147.1	MULTISPECIES: XVIPCD domain-containing protein [Xanthomonas]	OTHER	1	0	0	0	0	0	NA	100	861	0	0	1	861	1	861	0	1744	X-Tfes_XVIPCD	PF20410.4	-	0.0000000019	38.6	0.1	0.0000000019	38.6	0.1	3	3	0	0	3	3	3	1	X-Tfes,	NA	NA
WP_011052193.1	hypothetical protein [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	1334	0	0	1	1334	1	1334	0	2652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_011052194.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	1	0	0	0	0	0	NA	100	216	0	0	1	216	1	216	2.56E-160	434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_011052963.1	MULTISPECIES: M48 family metalloprotease [Xanthomonas]	OTHER	1	0.000001	0	0	0	0	NA	100	201	0	0	1	201	1	201	6.2E-148	401	Peptidase_M48	PF01435.25	-	0.0000000024	37.9	1.3	0.0000000028	37.6	1.3	1.1	1	0	0	1	1	1	1	Peptidase	NA	NA
WP_011052998.1	MULTISPECIES: ParA family protein [Xanthomonas]	OTHER	1	0	0	0	0	0	NA	100	255	0	0	1	255	1	255	0	522	AAA_31	PF13614.13	-	2.2E-24	86.9	0	3.1E-24	86.4	0	1.2	1	0	0	1	1	1	1	AAA	NA	NA
WP_015462607.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	1	0.000001	0	0	0	0	NA	100	102	0	0	1	102	14	115	2.09E-75	210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_015463221.1	MULTISPECIES: ParA family protein [Xanthomonas]	OTHER	1	0	0	0	0	0	NA	100	294	0	0	1	294	1	294	0	581	AAA_31	PF13614.13	-	1.7E-24	87.3	0	2.6E-24	86.7	0	1.2	1	0	0	1	1	1	1	AAA	NA	NA
WP_015463244.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	0.99976	0.000247	0.000012	0.000001	0	0.000009	NA	100	250	0	0	1	250	1	250	0	505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
