ID	Protein description	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position	percent_identity	alignment_length	mismatches	gap_opens	query_start	query_end	subject_start	subject_end	evalue	bit_score	target_name	target_accession	query_accession	full_evalue	full_score	full_bias	best1_evalue	best1_score	best1_bias	exp	reg	clu	ov	env	dom	rep	inc	description	virulence_literature	T3E_secreted_evidence	species_source	final_rank_score	rank_percentile
WP_045714871.1	calcium-binding protein [Xanthomonas citri]	OTHER	0.997729	0.002264	2.5e-05	5e-06	3e-06	1.3e-05		100.0	1315	0	0	1	1315	1	1315	0.0	2508.0	HemolysinCabind	PF00353.26	-	1.6e-63	210.7	252.2	2.6e-10	40.6	14.6	21.5	16.0	7.0	7.0	25.0	25.0	25.0	16.0	RTX			citrus	2718.7	0.0175
WP_011052193.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	1334	0	0	1	1334	1	1334	0.0	2652.0																					citrus	2652.0	0.02
WP_052456244.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	1307	0	0	1	1307	1	1307	0.0	2612.0																					citrus	2612.0	0.0225
WP_191589000.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	1224	0	0	1	1224	1	1224	0.0	2469.0																					citrus	2469.0	0.03
WP_011052147.1	MULTISPECIES: XVIPCD domain-containing protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	861	0	0	1	861	1	861	0.0	1744.0	X-Tfes_XVIPCD	PF20410.4	-	1.9e-09	38.6	0.1	1.9e-09	38.6	0.1	3.0	3.0	0.0	0.0	3.0	3.0	3.0	1.0	X-Tfes,			citrus	1782.6	0.0775
WP_052690681.1	putative Ig domain-containing protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	805	0	0	1	805	1	805	0.0	1596.0	He_PIG	PF05345.19	-	1.3e-49	167.2	23.7	3.6000000000000003e-22	79.2	0.8	5.0	5.0	0.0	0.0	5.0	5.0	5.0	3.0	Putative			citrus	1763.2	0.08
WP_011050550.1	MULTISPECIES: esterase/lipase family protein [Xanthomonas]	LIPO	1e-06	9e-06	1.0	0.0	0.0	0.0	CS pos: 25-26. Pr: 0.9958	100.0	664	0	0	1	664	1	664	0.0	1345.0																					citrus	1345.0	0.0925
WP_442712828.1	esterase/lipase family protein [Xanthomonas citri]	LIPO	0.087571	0.352378	0.559235	0.000328	0.000241	0.000239	CS pos: 10-11. Pr: 0.5220	100.0	627	0	0	1	627	1	627	0.0	1285.0	Abhydrolase_6	PF12697.14	-	1.7e-07	32.7	2.2	1.7e-07	32.7	2.2	2.2	2.0	0.0	0.0	2.0	2.0	2.0	1.0	Alpha/beta			citrus	1317.7	0.1
WP_011051229.1	IS4-like element ISXac1 family transposase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	404	0	0	1	404	1	404	0.0	805.0	DDE_Tnp_1	PF01609.28	-	7.499999999999999e-24	85.2	0.5	4.1000000000000004e-22	79.5	0.0	2.2	2.0	0.0	0.0	2.0	2.0	2.0	2.0	Transposase			citrus	890.2	0.305
WP_011050083.1	MULTISPECIES: IS4-like element ISXac1 family transposase [Gammaproteobacteria]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	404	0	0	1	404	1	404	0.0	805.0	DDE_Tnp_1	PF01609.28	-	8.799999999999999e-24	85.0	0.4	4.900000000000003e-22	79.3	0.0	2.2	2.0	0.0	0.0	2.0	2.0	2.0	2.0	Transposase			citrus	890.0	0.3075
WP_232350932.1	zeta toxin family protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	1273	0	0	1	1273	1	1273	0.0	2552.0	Zeta_toxin	PF06414.19	-	7.9999999999999985e-56	189.2	0.0	1.4999999999999999e-55	188.3	0.0	1.4	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Zeta			grape	2741.2	0.015
WP_244441022.1	peptidoglycan-binding protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	1222	0	0	1	1222	1	1222	0.0	2449.0	PG_binding_1	PF01471.24	-	8.3e-14	52.1	1.4	2.7e-13	50.5	1.4	2.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Putative			grape	2501.1	0.0275
WP_080715310.1	serine/threonine-protein kinase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	360	0	0	1	360	1	360	0.0	746.0	Pkinase	PF00069.32	-	7.1e-46	157.3	0.0	9.3e-46	156.9	0.0	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Protein			grape	903.3	0.3025
WP_033485481.1	helix-turn-helix domain-containing protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	389	0	0	1	389	1	389	0.0	796.0	Peptidase_M78	PF06114.20	-	1.7e-21	76.9	0.1	3.8e-21	75.7	0.1	1.6	2.0	0.0	0.0	2.0	2.0	2.0	1.0	IrrE			grape	872.9	0.3275
WP_005924051.1	serine/threonine-protein kinase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	350	0	0	1	350	1	350	0.0	723.0	Pkinase	PF00069.32	-	8.8e-43	147.2	0.0	1.2e-42	146.7	0.0	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Protein			grape	870.2	0.3325
WP_033485020.1	type IV secretion system protein [Xanthomonas citri]	OTHER	1.0	3e-06	0.0	0.0	0.0	0.0		100.0	360	0	0	1	360	1	360	0.0	721.0	TrbL	PF04610.20	-	3.6e-37	128.8	21.6	6.2e-37	128.0	21.6	1.4	1.0	0.0	0.0	1.0	1.0	1.0	1.0	TrbL/VirB6	possible_virulence		grape	849.8	0.355
WP_033485945.1	MULTISPECIES: type IV secretion system protein [Xanthomonas]	OTHER	1.0	1e-05	0.0	0.0	0.0	0.0		100.0	360	0	0	1	360	1	360	0.0	722.0	TrbL	PF04610.20	-	2.7e-36	126.0	22.9	2.7e-36	126.0	22.9	1.6	1.0	1.0	0.0	1.0	1.0	1.0	1.0	TrbL/VirB6	possible_virulence		grape	848.0	0.3575
WP_050495026.1	MULTISPECIES: helix-turn-helix domain-containing protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	366	0	0	1	366	1	366	0.0	754.0	Peptidase_M78	PF06114.20	-	1.1e-18	67.8	0.0	4e-18	66.0	0.0	2.0	2.0	0.0	0.0	2.0	2.0	2.0	1.0	IrrE			grape	821.8	0.3975
WP_080715265.1	serine/threonine-protein kinase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	295	0	0	1	295	1	295	0.0	620.0	Pkinase	PF00069.32	-	6.5e-36	124.6	0.0	2.1e-35	123.0	0.0	1.6	1.0	1.0	1.0	2.0	2.0	2.0	1.0	Protein			grape	744.6	0.525
