ID	Protein description	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position	percent_identity	alignment_length	mismatches	gap_opens	query_start	query_end	subject_start	subject_end	evalue	bit_score	target_name	target_accession	query_accession	full_evalue	full_score	full_bias	best1_evalue	best1_score	best1_bias	exp	reg	clu	ov	env	dom	rep	inc	description	virulence_literature	T3E_secreted_evidence
WP_005924051.1	serine/threonine-protein kinase [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	350	0	0	1	350	1	350	0	723	Pkinase	PF00069.32	-	8.8E-43	147.2	0	1.2E-42	146.7	0	1.1	1	0	0	1	1	1	1	Protein	NA	NA
WP_033485020.1	type IV secretion system protein [Xanthomonas citri]	OTHER	1	0.000003	0	0	0	0	NA	100	360	0	0	1	360	1	360	0	721	TrbL	PF04610.20	-	3.6E-37	128.8	21.6	6.2E-37	128	21.6	1.4	1	0	0	1	1	1	1	TrbL/VirB6	possible_virulence	NA
WP_033485021.1	hypothetical protein [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	144	0	0	1	144	1	144	1.02E-105	289	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_033485033.1	P-type DNA transfer protein VirB5 [Xanthomonas citri]	SP	0.000254	0.999097	0.000175	0.000164	0.000147	0.000137	CS pos: 21-22. Pr: 0.9692	100	236	0	0	1	236	1	236	1.45E-180	486	T4SS	PF07996.17	-	1.6E-65	221.8	14	1.9E-65	221.6	14	1	1	0	0	1	1	1	1	Type	NA	NA
WP_033485481.1	helix-turn-helix domain-containing protein [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	389	0	0	1	389	1	389	0	796	Peptidase_M78	PF06114.20	-	1.7E-21	76.9	0.1	3.8E-21	75.7	0.1	1.6	2	0	0	2	2	2	1	IrrE	NA	NA
WP_033485945.1	MULTISPECIES: type IV secretion system protein [Xanthomonas]	OTHER	1	0.00001	0	0	0	0	NA	100	360	0	0	1	360	1	360	0	722	TrbL	PF04610.20	-	2.7E-36	126	22.9	2.7E-36	126	22.9	1.6	1	1	0	1	1	1	1	TrbL/VirB6	possible_virulence	NA
WP_033485946.1	MULTISPECIES: EexN family lipoprotein [Xanthomonas]	LIPO	0	0.000007	1	0	0	0	CS pos: 16-17. Pr: 0.9965	100	81	0	0	1	81	1	81	2.54E-59	167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_050495026.1	MULTISPECIES: helix-turn-helix domain-containing protein [Xanthomonas]	OTHER	1	0	0	0	0	0	NA	100	366	0	0	1	366	1	366	0	754	Peptidase_M78	PF06114.20	-	1.1E-18	67.8	0	4E-18	66	0	2	2	0	0	2	2	2	1	IrrE	NA	NA
WP_050495088.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	1	0.000025	0	0	0	0	NA	100	123	0	0	1	123	1	123	2.54E-93	256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_080715180.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	1	0	0	0	0	0	NA	100	59	0	0	1	59	1	59	5.85E-42	121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_080715265.1	serine/threonine-protein kinase [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	295	0	0	1	295	1	295	0	620	Pkinase	PF00069.32	-	6.5E-36	124.6	0	2.1E-35	123	0	1.6	1	1	1	2	2	2	1	Protein	NA	NA
WP_080715310.1	serine/threonine-protein kinase [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	360	0	0	1	360	1	360	0	746	Pkinase	PF00069.32	-	7.1E-46	157.3	0	9.3E-46	156.9	0	1.1	1	0	0	1	1	1	1	Protein	NA	NA
WP_080715314.1	hypothetical protein [Xanthomonas citri]	OTHER	1	0.000005	0	0	0	0	NA	100	109	0	0	1	109	1	109	1.83E-77	214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_098477617.1	EexN family lipoprotein [Xanthomonas citri]	LIPO	0	0.000009	1	0	0	0	CS pos: 16-17. Pr: 0.9965	100	83	0	0	1	83	1	83	2.46E-62	174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_134952608.1	MULTISPECIES: hypothetical protein [Xanthomonas]	SP	0.155213	0.825425	0.017346	0.001226	0.000418	0.000354	CS pos: 39-40. Pr: 0.7192	100	329	0	0	1	329	1	329	0	682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_136614833.1	hypothetical protein [Xanthomonas citri]	OTHER	1	0.000012	0	0	0	0	NA	100	262	0	0	1	262	1	262	0	541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_136614834.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	1	0	0	0	0	0	NA	100	144	0	0	1	144	1	144	4.55E-107	292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_136614837.1	hypothetical protein [Xanthomonas citri]	OTHER	0.999942	0.000088	0.000002	0	0	0	NA	100	266	0	0	1	266	1	266	0	548	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_164677996.1	MULTISPECIES: P-type DNA transfer protein VirB5 [Xanthomonas]	SP	0.00027	0.999108	0.000178	0.000156	0.000138	0.000134	CS pos: 21-22. Pr: 0.9634	100	236	0	0	1	236	1	236	1.34E-180	486	T4SS	PF07996.17	-	7.7E-67	226.1	14.7	8.8E-67	225.9	14.7	1	1	0	0	1	1	1	1	Type	NA	NA
WP_181143283.1	hypothetical protein [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	112	0	0	1	112	1	112	8.66E-84	231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_232350812.1	hypothetical protein [Xanthomonas citri]	OTHER	0.999999	0.000002	0.000002	0	0	0	NA	100	49	0	0	1	49	1	49	2.84E-34	101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_232350932.1	zeta toxin family protein [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	1273	0	0	1	1273	1	1273	0	2552	Zeta_toxin	PF06414.19	-	8E-56	189.2	0	1.5E-55	188.3	0	1.4	1	0	0	1	1	1	1	Zeta	NA	NA
WP_244440999.1	transposase [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	217	0	0	1	217	1	217	8.42E-166	447	Y1_Tnp	PF01797.22	-	6.7E-12	46.2	0	9.1E-12	45.8	0	1.2	1	0	0	1	1	1	1	Transposase	NA	NA
WP_244441022.1	peptidoglycan-binding protein [Xanthomonas citri]	OTHER	1	0	0	0	0	0	NA	100	1222	0	0	1	1222	1	1222	0	2449	PG_binding_1	PF01471.24	-	8.3E-14	52.1	1.4	2.7E-13	50.5	1.4	2	1	0	0	1	1	1	1	Putative	NA	NA
