species_source	quantum_cluster	ID	final_rank_score_review	reason
citrus	0	WP_045714871.1	2718.7	rank=2718.7; cluster=0
grape	0	WP_232350932.1	2741.2	rank=2741.2; cluster=0
pomegranate	1	WP_233700232.1	7135.0	rank=7135.0; cluster=1
xoo	0	WP_242505180.1	3748.0	rank=3748.0; cluster=0
