ID	Protein description	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position	percent_identity	alignment_length	mismatches	gap_opens	query_start	query_end	subject_start	subject_end	evalue	bit_score	target_name	target_accession	query_accession	full_evalue	full_score	full_bias	best1_evalue	best1_score	best1_bias	expected	regions	clusters	overlap count	envelope count	domains	repeats	inclusion	description
WP_011257024.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	326	0	0	1	326	1	326	0	672	DDE_Tnp_1	PF01609.28	-	3.1E-29	102.8	2.5	4.7E-29	102.2	2.5	1.2	1	0	0	1	1	1	1	Transposase
WP_011257046.1	IS30 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	341	0	0	1	341	1	341	0	712	rve	PF00665.33	-	0.0000017	28.8	0	0.0000042	27.5	0	1.6	1	0	0	1	1	1	1	Integrase
WP_011257122.1	hypothetical protein [Xanthomonas oryzae]	OTHER	1	0.000003	0	0	0	0	NA	100	86	0	0	1	86	1	86	2.57E-59	170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_011257310.1	MULTISPECIES: ISL3-like element ISXoo13 family transposase [Gammaproteobacteria]	OTHER	1	0	0	0	0	0	NA	99.757	411	1	0	1	411	1	411	0	850	DDE_Tnp_ISL3	PF01610.24	-	1.1E-59	202.7	0.5	1.4E-59	202.4	0.5	1.1	1	0	0	1	1	1	1	Transposase
WP_011257570.1	ISL3-like element ISXoo13 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	411	0	0	1	411	1	411	0	849	DDE_Tnp_ISL3	PF01610.24	-	6.1E-60	203.6	0.5	7.6E-60	203.3	0.5	1.1	1	0	0	1	1	1	1	Transposase
WP_011257704.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0.000002	0	0	0	0	NA	100	158	0	0	1	158	1	158	4.01E-119	327	DDE_Tnp_1	PF01609.28	-	2.2E-30	106.5	0.1	2.5E-30	106.3	0.1	1	1	0	0	1	1	1	1	Transposase
WP_011258065.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	0.999838	0.000186	0.000001	0.000001	0	0.000002	NA	100	112	0	0	1	112	1	112	1.28E-81	228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_011258442.1	ISL3-like element ISXoo13 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	411	0	0	1	411	1	411	0	850	DDE_Tnp_ISL3	PF01610.24	-	2.3E-59	201.7	0.4	2.9E-59	201.4	0.4	1.1	1	0	0	1	1	1	1	Transposase
WP_011258918.1	IS630 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	352	0	0	1	352	1	352	0	716	DDE_3	PF13358.13	-	1.6E-30	106.5	0	2.3E-30	105.9	0	1.3	1	0	0	1	1	1	1	DDE
WP_011259047.1	hypothetical protein [Xanthomonas oryzae]	SP	0.000445	0.998803	0.000215	0.000196	0.00016	0.00015	CS pos: 34-35. Pr: 0.9626	100	337	0	0	1	337	1	337	0	701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
