species_source	ID	Prediction_clustered	Protein description_clustered	description_clustered	bit_score_clustered	full_score_clustered	final_rank_score_clustered	full_evalue_clustered	virulence_literature_clustered	quantum_cluster	Prediction_review	Protein description_review	full_evalue_review	description_review	virulence_literature_review	bit_score_review	full_score_review	final_rank_score_review
citrus	WP_045714871.1	OTHER	calcium-binding protein [Xanthomonas citri]	RTX	2508	210.7	2718.7	1.6e-63		0	OTHER	calcium-binding protein [Xanthomonas citri]	1.6e-63	RTX		2508	210.7	2718.7
citrus	WP_011052193.1	OTHER	hypothetical protein [Xanthomonas citri]		2652		2652.0			1	OTHER	hypothetical protein [Xanthomonas citri]				2652		2652.0
citrus	WP_052456244.1	OTHER	hypothetical protein [Xanthomonas citri]		2612		2612.0			1	OTHER	hypothetical protein [Xanthomonas citri]				2612		2612.0
citrus	WP_191589000.1	OTHER	hypothetical protein [Xanthomonas citri]		2469		2469.0			0	OTHER	hypothetical protein [Xanthomonas citri]				2469		2469.0
citrus	WP_011052147.1	OTHER	MULTISPECIES: XVIPCD domain-containing protein [Xanthomonas]	X-Tfes,	1744	38.6	1782.6	1.9e-09		0	OTHER	MULTISPECIES: XVIPCD domain-containing protein [Xanthomonas]	1.9e-09	X-Tfes,		1744	38.6	1782.6
citrus	WP_052690681.1	OTHER	putative Ig domain-containing protein [Xanthomonas citri]	Putative	1596	167.2	1763.2	1.3e-49		2	OTHER	putative Ig domain-containing protein [Xanthomonas citri]	1.3e-49	Putative		1596	167.2	1763.2
citrus	WP_011050550.1	LIPO	MULTISPECIES: esterase/lipase family protein [Xanthomonas]		1345		1345.0			0	LIPO	MULTISPECIES: esterase/lipase family protein [Xanthomonas]				1345		1345.0
citrus	WP_442712828.1	LIPO	esterase/lipase family protein [Xanthomonas citri]	Alpha/beta	1285	32.7	1317.7	1.7e-07		0	LIPO	esterase/lipase family protein [Xanthomonas citri]	1.7e-07	Alpha/beta		1285	32.7	1317.7
citrus	WP_011051229.1	OTHER	IS4-like element ISXac1 family transposase [Xanthomonas citri]	Transposase	805	85.2	890.2	7.5e-24		0	OTHER	IS4-like element ISXac1 family transposase [Xanthomonas citri]	7.5e-24	Transposase		805	85.2	890.2
citrus	WP_011050083.1	OTHER	MULTISPECIES: IS4-like element ISXac1 family transposase [Gammaproteobacteria]	Transposase	805	85.0	890.0	8.8e-24		0	OTHER	MULTISPECIES: IS4-like element ISXac1 family transposase [Gammaproteobacteria]	8.8e-24	Transposase		805	85.0	890.0
grape	WP_232350932.1	OTHER	zeta toxin family protein [Xanthomonas citri]	Zeta	2552	189.2	2741.2	7.9999999999999985e-56		0	OTHER	zeta toxin family protein [Xanthomonas citri]	7.9999999999999985e-56	Zeta		2552	189.2	2741.2
