species_source	ID	bit_score	full_score	final_rank_score	full_evalue	evalue_neglog10
citrus	WP_045714871.1	2508	210.7	2718.7	1.6e-63	62.795880017344075
citrus	WP_011052193.1	2652		2652.0		
citrus	WP_052456244.1	2612		2612.0		
citrus	WP_191589000.1	2469		2469.0		
citrus	WP_011052147.1	1744	38.6	1782.6	1.9e-09	8.721246399047171
citrus	WP_052690681.1	1596	167.2	1763.2	1.3e-49	48.88605664769317
citrus	WP_011050550.1	1345		1345.0		
citrus	WP_442712828.1	1285	32.7	1317.7	1.7e-07	6.769551078621726
citrus	WP_011051229.1	805	85.2	890.2	7.5e-24	23.1249387366083
citrus	WP_011050083.1	805	85.0	890.0	8.8e-24	23.05551732784983
grape	WP_232350932.1	2552	189.2	2741.2	7.9999999999999985e-56	55.096910013008056
grape	WP_244441022.1	2449	52.1	2501.1	8.3e-14	13.080921907623926
grape	WP_080715310.1	746	157.3	903.3	7.1e-46	45.14874165128092
grape	WP_033485481.1	796	76.9	872.9	1.7e-21	20.769551078621728
grape	WP_005924051.1	723	147.2	870.2	8.8e-43	42.055517327849834
grape	WP_033485020.1	721	128.8	849.8	3.6e-37	36.44369749923271
grape	WP_033485945.1	722	126.0	848.0	2.7e-36	35.56863623584101
grape	WP_050495026.1	754	67.8	821.8	1.1e-18	17.958607314841775
grape	WP_080715265.1	620	124.6	744.6	6.5e-36	35.18708664335715
grape	WP_164677996.1	486	226.1	712.1	7.7e-67	66.11350927482752
pomegranate	WP_233700232.1	6556	579.0	7135.0	3.8e-179	178.4202164033832
pomegranate	WP_306291509.1	1109		1109.0		
pomegranate	WP_005932979.1	1058		1058.0		
pomegranate	WP_192486489.1	931	69.4	1000.4	4.4e-19	18.356547323513812
pomegranate	WP_192486500.1	931	69.4	1000.4	4.4e-19	18.356547323513812
pomegranate	WP_160964032.1	930	69.4	999.4	4.4e-19	18.356547323513812
pomegranate	WP_233700267.1	885		885.0		
pomegranate	WP_176558553.1	771	88.0	859.0	3.9e-25	24.4089353929735
pomegranate	WP_087947207.1	764	93.6	857.6	7.1e-27	26.148741651280925
pomegranate	WP_425525089.1	768	88.1	856.1	3.7e-25	24.431798275933005
xoo	WP_242505180.1	3564	184.0	3748.0	3.4e-55	54.46852108295774
xoo	WP_012444473.1	3232	236.7	3468.7	1e-71	71.0
xoo	WP_129215632.1	2918	243.8	3161.8	5.800000000000001e-74	73.23657200643706
xoo	WP_129215608.1	2791	35.9	2826.9	8.7e-09	8.060480747381382
xoo	WP_229002594.1	2342	198.5	2540.5	1e-59	59.0
xoo	WP_242505189.1	1974	225.4	2199.4	1.3e-66	65.88605664769317
xoo	WP_206737953.1	1865	224.8	2089.8	2e-66	65.69897000433602
xoo	WP_129215671.1	1954	134.0	2088.0	7e-39	38.15490195998574
xoo	WP_129215596.1	1943	142.8	2085.8	1.3999999999999998e-41	40.85387196432176
xoo	WP_129215587.1	1943	142.6	2085.6	1.5e-41	40.82390874094432
